Name,Teff1,Teff1_err,Teff2,Teff2_err,Vmag,source,RAJ2000,DecJ2000,Period,Result,qual,AllWISE Name,allwise_ra_j2000,allwise_dec_j2000,query_rad,Arcsec Real Center Deviance from Catalog,include
KIC 9246715,4930,190,4930,190,9.65,AllWISE,300.95135,45.60412,,,,J200348.85+453609.0,300.9535465,45.6025258,2.000,9.770592261,1
V1061 Cyg,6180,100,5300,150,9.21,AllWISE,316.8355,52.04956,2.346656,maybe,2,J210720.53+520258.8,316.8355656,52.0496789,2.000,0.4888658171,1
RW Lac,5760,100,5560,150,10.81,AllWISE,341.2379,49.65766,10.36922,YES,3,J224457.11+493927.3,341.2379906,49.6576068,2.000,0.3782330709,1
AP And,6565,150,6495,150,11.19,AllWISE,357.37796,45.78924,1.587291,YES,3,J234930.71+454721.2,357.3779728,45.7892273,2.000,0.06491290173,1
IT Cas,6470,100,6470,100,11.23,AllWISE,355.5058,51.74356,3.8966475,YES,3,J234201.36+514436.7,355.5057037,51.7435363,2.000,0.3570245437,1
V505 Per,6510,50,6460,50,6.88,AllWISE,35.30402,54.51008,,,,J022113.00+543036.4,35.3042037,54.5101325,2.000,0.687797312,1
RR Lyn,7600,100,7000,100,5.54,AllWISE,96.60765,56.2851,9.945079,no,1,J062625.81+561706.8,96.6075797,56.2852477,2.000,0.5888765956,1
1SWASP J093010.78+533859.5,5000,200,4240,200,9.84,AllWISE,142.54478,53.64995,1.3055428,no,1,J093010.81+533859.1,142.5450727,53.6497582,2.000,1.259796995,1
V1143 Cyg,6450,100,6400,100,5.9,AllWISE,294.6716,54.97379,7.6407613,no,1,J193841.21+545827.3,294.6717257,54.9742626,2.000,1.760511346,1
RT And,6100,150,4880,100,9.04,AllWISE,347.79208,53.02584,0.6289216,YES,3,J231110.08+530132.8,347.7920368,53.0257868,2.000,0.2467111282,1
V396 Cas,9225,150,8550,120,9.58,AllWISE,348.3999,56.73811,5.50545,YES,3,J231335.97+564417.1,348.3998934,56.7380991,2.000,0.04587281549,1
PV Cas,10200,250,10190,250,9.86,AllWISE,347.51074,59.20171,1.75046986,YES,3,J231002.55+591206.3,347.5106448,59.2017501,2.000,0.3718827879,1
MU Cas,14750,800,15100,800,10.8,AllWISE,3.96484,60.43157,9.65295,YES,3,J001551.55+602553.6,3.9648128,60.4315667,2.000,0.09863802918,1
V459 Cas,9140,300,9100,300,10.36,AllWISE,17.87465,61.14665,8.458255,YES,3,J011129.90+610848.0,17.874607,61.1466942,2.000,0.2219959783,1
